month,port,destination_country,volume_tons,freight_rate_usd_per_ton,vessel_type,incoterm
2024-01-01,Santos,Spain,19418,36.27,Kamsarmax,CIF
2024-01-01,Santos,Thailand,43104,31.82,Handymax,CIF
2024-01-01,Santos,Vietnam,22365,42.57,Panamax,CIF
2024-01-01,Santos,Turkey,6950,30.98,Panamax,FOB
2024-01-01,Santos,Egypt,19018,25.68,Kamsarmax,CIF
2024-01-01,Santos,Mexico,39240,40.59,Handymax,CIF
2024-01-01,Paranagua,China,68625,45.17,Handymax,FOB
2024-01-01,Paranagua,Netherlands,49614,32.1,Kamsarmax,CIF
2024-01-01,Paranagua,Spain,32657,35.93,Supramax,CIF
2024-01-01,Paranagua,Thailand,46437,31.97,Handymax,CIF
2024-01-01,Paranagua,Vietnam,13867,35.1,Handymax,FOB
2024-01-01,Paranagua,Turkey,13280,29.93,Handymax,FOB
2024-01-01,Paranagua,Egypt,41975,36.69,Handymax,CFR
2024-01-01,Paranagua,Mexico,18172,43.64,Supramax,CIF
2024-01-01,Rio Grande,China,61349,36.7,Supramax,FOB
2024-01-01,Rio Grande,Netherlands,31261,37.26,Kamsarmax,FOB
2024-01-01,Rio Grande,Vietnam,8016,42.44,Kamsarmax,FOB
2024-01-01,Rio Grande,Turkey,16723,29.42,Kamsarmax,FOB
2024-01-01,Rio Grande,Egypt,19781,25.72,Supramax,CFR
2024-01-01,Itaqui,China,29677,38.39,Panamax,CIF
2024-01-01,Itaqui,Spain,15337,33.55,Handymax,CFR
2024-01-01,Itaqui,Thailand,21757,38.59,Kamsarmax,CFR
2024-01-01,Itaqui,Egypt,18497,34.58,Kamsarmax,CFR
2024-01-01,Itaqui,Mexico,4033,34.2,Supramax,CFR
2024-01-01,Sao Francisco do Sul,China,41561,44.02,Panamax,CFR
2024-01-01,Sao Francisco do Sul,Netherlands,13495,29.41,Kamsarmax,FOB
2024-01-01,Sao Francisco do Sul,Spain,8611,31.68,Panamax,FOB
2024-01-01,Sao Francisco do Sul,Thailand,10611,34.09,Handymax,CIF
2024-01-01,Sao Francisco do Sul,Vietnam,10281,36.49,Kamsarmax,FOB
