port,destination_country,total_volume_tons,avg_freight_rate_usd_per_ton,estimated_freight_revenue_usd
Santos,China,2684506,44.405,118220823.94
Paranagua,China,1744786,41.02777777777778,71340781.57
Itaqui,China,1500515,44.5865,67186051.22
Rio Grande,China,1413534,43.49294117647059,62749414.45
Sao Francisco do Sul,China,1354121,42.838499999999996,58199255.5
Barcarena,China,1120654,44.566111111111105,49729988.61
Santos,Thailand,1235581,37.07,45393138.58
Paranagua,Netherlands,1132555,31.82625,36107197.96
Santos,Spain,1042290,32.8304347826087,34472285.49
Paranagua,Vietnam,921777,36.76047619047619,34238700.32
Paranagua,Thailand,857094,37.3745,32156590.24
Paranagua,Spain,920363,31.681,28563281.330000002
Santos,Turkey,905180,30.362173913043474,27325763.88
Paranagua,Mexico,710905,37.40909090909091,26823564.8
Santos,Mexico,732353,36.41428571428572,26650630.06
Santos,Netherlands,869048,30.637333333333334,26528819.24
Rio Grande,Netherlands,818762,31.109999999999996,26029286.09
Rio Grande,Vietnam,654047,38.96727272727273,25677526.06
Santos,Egypt,776279,32.04052631578947,25102736.52
Paranagua,Egypt,722872,33.09833333333333,24398126.1
Santos,Vietnam,710637,34.75176470588235,24386511.66
Itaqui,Netherlands,761429,30.9435,23422877.39
Paranagua,Turkey,731150,30.581428571428575,22312812.1
Barcarena,Netherlands,651281,31.32190476190476,20876517.42
Itaqui,Thailand,569210,36.33047619047619,20816358.48
Rio Grande,Thailand,579665,35.53176470588235,20459531.150000002
Itaqui,Vietnam,493085,37.42523809523809,18731287.05
Barcarena,Spain,591237,31.82826086956522,18716883.02
Rio Grande,Turkey,582693,31.973636363636363,18453682.19
Barcarena,Thailand,477082,36.73684210526316,17707004.259999998
Barcarena,Egypt,580045,30.637272727272727,17214347.05
Itaqui,Mexico,469941,36.69857142857143,17177091.14
Rio Grande,Mexico,468115,36.257777777777775,17068768.32
Barcarena,Vietnam,473818,36.419411764705885,17052313.25
Sao Francisco do Sul,Thailand,445863,37.08894736842105,16621371.01
Itaqui,Turkey,507024,32.42631578947368,16123637.95
Itaqui,Spain,495371,31.035882352941176,15541381.03
Rio Grande,Egypt,515395,30.13142857142857,15258361.62
Rio Grande,Spain,505117,29.860952380952384,15130355.3
Itaqui,Egypt,481780,31.084285714285713,14935617.23
Sao Francisco do Sul,Netherlands,457048,31.582272727272724,14088255.43
Sao Francisco do Sul,Vietnam,373238,36.091818181818184,13774197.39
Barcarena,Turkey,411228,31.356,12882801.73
Barcarena,Mexico,351491,35.43590909090909,12562712.03
Sao Francisco do Sul,Mexico,323592,36.37294117647059,11712954.35
Sao Francisco do Sul,Turkey,338187,31.17777777777778,10693676.34
Sao Francisco do Sul,Spain,323443,31.328823529411768,10363412.6
Sao Francisco do Sul,Egypt,335830,30.011875,10146847.879999999
